"site_id","date","nitrate","phosphate"
"site1",2023-01-01,1.4379,0.4325
"site1",2023-01-08,3.9415,1.3487
"site1",2023-01-15,2.0449,0.0953
"site1",2023-01-22,4.4151,1.4017
"site1",2023-01-29,4.7023,0.7038
"site1",2023-02-05,0.2278,0.8179
"site1",2023-02-12,2.6405,1.6419
"site1",2023-02-19,4.4621,1.8377
"site1",2023-02-26,2.7572,0.5651
"site1",2023-03-05,2.2831,1.9222
"site1",2023-03-12,4.7842,1.4568
"site1",2023-03-19,2.2667,1.3727
"site1",2023-03-26,3.3878,0.1057
"site1",2023-04-02,2.8632,2.9886
"site1",2023-04-09,0.5146,4.9898
"site1",2023-04-16,9.4556,2.7045
"site1",2023-04-23,8.1313,3.838
"site1",2023-04-30,6.5145,2.3245
"site1",2023-05-07,6.941,3.4611
"site1",2023-05-14,5.8024,0.8568
"site1",2023-05-21,4.4477,1.0842
"site1",2023-05-28,3.464,0.117
"site1",2023-06-04,3.2025,0.5217
"site1",2023-06-11,4.9714,0.7943
"site1",2023-06-18,3.2785,0.3955
"site1",2023-06-25,3.5426,1.6639
"site1",2023-07-02,2.7203,0.3058
"site1",2023-07-09,2.9707,1.6068
"site1",2023-07-16,1.4458,1.0937
"site1",2023-07-23,0.7356,1.3246
"site1",2023-07-30,4.8151,0.3434
"site1",2023-08-06,4.5115,1.2661
"site1",2023-08-13,3.4535,0.6237
"site1",2023-08-20,3.9773,1.4491
"site1",2023-08-27,0.1231,0.7979
"site1",2023-09-03,2.389,1.9387
"site1",2023-09-10,3.7923,1.9348
"site1",2023-09-17,1.082,1.4534
"site1",2023-09-24,1.5909,0.5144
"site1",2023-10-01,9.3128,0.4436
"site1",2023-10-08,9.7655,1.1861
"site1",2023-10-15,7.8182,0.535
"site1",2023-10-22,2.0686,1.0621
"site1",2023-10-29,1.8442,1.5706
"site1",2023-11-05,0.7622,0.3361
"site1",2023-11-12,0.694,0.8088
"site1",2023-11-19,1.1652,0.9432
"site1",2023-11-26,2.3298,1.7362
"site1",2023-12-03,1.3299,1.8514
"site1",2023-12-10,4.2891,1.764
"site1",2023-12-17,0.2292,1.3484
"site1",2023-12-24,2.211,1.9003
"site1",2023-12-31,3.9946,1.0329
"site2",2023-01-01,0.6095,1.153
"site2",2023-01-08,2.8047,0.6727
"site2",2023-01-15,1.0327,0.6946
"site2",2023-01-22,0.6377,0.0401
"site2",2023-01-29,3.7665,1.0056
"site2",2023-02-05,4.4752,1.7421
"site2",2023-02-12,1.8723,0.0126
"site2",2023-02-19,3.3256,0.1441
"site2",2023-02-26,0.4742,0.3284
"site2",2023-03-05,1.9199,1.5407
"site2",2023-03-12,1.3719,1.4704
"site2",2023-03-19,4.0732,1.9438
"site2",2023-03-26,2.2426,0.9329
"site2",2023-04-02,4.0503,0.1488
"site2",2023-04-09,4.062,1.2976
"site2",2023-04-16,3.9717,1.5172
"site2",2023-04-23,2.1992,0.2742
"site2",2023-04-30,3.7724,0.7932
"site2",2023-05-07,3.1461,0.45
"site2",2023-05-14,3.5509,0.1159
"site2",2023-05-21,0.0031,0.7918
"site2",2023-05-28,2.3766,0.1299
"site2",2023-06-04,1.1006,0.4518
"site2",2023-06-11,1.8991,0.1093
"site2",2023-06-18,3.0639,1.3406
"site2",2023-06-25,1.759,0.5955
"site2",2023-07-02,0.5557,0.2014
"site2",2023-07-09,1.2181,0.1438
"site2",2023-07-16,3.3403,1.7609
"site2",2023-07-23,2.0882,1.5085
"site2",2023-07-30,3.941,1.6332
"site2",2023-08-06,0.5143,1.9643
"site2",2023-08-13,2.1745,0.2072
"site2",2023-08-20,4.9248,0.1981
"site2",2023-08-27,4.4653,1.5977
"site2",2023-09-03,4.4323,1.5692
"site2",2023-09-10,0.8753,0.0189
"site2",2023-09-17,0.6535,1.5581
"site2",2023-09-24,3.2655,1.4588
"site2",2023-10-01,1.7176,1.2603
"site2",2023-10-08,3.2838,0.9618
"site2",2023-10-15,1.6019,0.3133
"site2",2023-10-22,0.9385,0.0164
"site2",2023-10-29,3.9115,0.9049
"site2",2023-11-05,0.468,0.9846
"site2",2023-11-12,2.3339,0.7792
"site2",2023-11-19,2.5575,0.9293
"site2",2023-11-26,2.9999,1.4266
"site2",2023-12-03,1.6641,0.1106
"site2",2023-12-10,2.4431,0.7096
"site2",2023-12-17,4.7724,1.6056
"site2",2023-12-24,2.4145,1.6714
"site2",2023-12-31,4.4517,0.4755
"site3",2023-01-01,4.5722,0.708
"site3",2023-01-08,3.0437,1.7138
"site3",2023-01-15,2.0535,1.7075
"site3",2023-01-22,0.7355,0.5918
"site3",2023-01-29,4.6765,0.2941
"site3",2023-02-05,1.5061,1.408
"site3",2023-02-12,0.3036,0.2076
"site3",2023-02-19,4.7386,0.0675
"site3",2023-02-26,3.603,1.9988
"site3",2023-03-05,0.7115,0.0698
"site3",2023-03-12,2.7464,0.6768
"site3",2023-03-19,4.7705,1.8301
"site3",2023-03-26,2.9274,1.2345
"site3",2023-04-02,2.0225,0.5726
"site3",2023-04-09,3.2395,1.4756
"site3",2023-04-16,1.5991,1.6681
"site3",2023-04-23,1.5386,0.6285
"site3",2023-04-30,1.0988,0.9851
"site3",2023-05-07,1.8474,1.3947
"site3",2023-05-14,4.9211,1.2829
"site3",2023-05-21,0.771,1.2878
"site3",2023-05-28,0.4552,1.9557
"site3",2023-06-04,0.7095,0.8295
"site3",2023-06-11,3.45,0.2388
"site3",2023-06-18,3.0963,1.0521
"site3",2023-06-25,4.457,0.4502
"site3",2023-07-02,2.7956,0.9728
"site3",2023-07-09,3.2893,0.7404
"site3",2023-07-16,4.2639,1.9667
"site3",2023-07-23,6.671,0.7766
"site3",2023-07-30,7.8537,0.4585
"site3",2023-08-06,3.3242,1.5883
"site3",2023-08-13,8.9317,2.4322
"site3",2023-08-20,7.6686,3.6933
"site3",2023-08-27,8.0832,3.0953
"site3",2023-09-03,2.0474,2.3992
"site3",2023-09-10,0.0523,1.2438
"site3",2023-09-17,0.9192,1.9719
"site3",2023-09-24,4.2137,1.3375
"site3",2023-10-01,1.1558,0.8378
"site3",2023-10-08,1.1955,0.6467
"site3",2023-10-15,0.3835,1.6705
"site3",2023-10-22,1.2286,0.2876
"site3",2023-10-29,3.6607,0.3856
"site3",2023-11-05,4.2373,1.7935
"site3",2023-11-12,2.4876,0.6162
"site3",2023-11-19,1.9396,0.7266
"site3",2023-11-26,1.2322,1.5679
"site3",2023-12-03,0.5555,0.3868
"site3",2023-12-10,1.95,0.0355
"site3",2023-12-17,2.8597,0.8132
"site3",2023-12-24,1.0845,0.9663
"site3",2023-12-31,2.2238,0.8437
"site4",2023-01-01,3.4432,1.534
"site4",2023-01-08,2.3491,2.6082
"site4",2023-01-15,3.4197,2.5118
"site4",2023-01-22,3.5295,3.8351
"site4",2023-01-29,6.871,2.024
"site4",2023-02-05,6.4851,2.3941
"site4",2023-02-12,2.9295,1.2476
"site4",2023-02-19,2.7484,3.5803
"site4",2023-02-26,7.8484,2.187
"site4",2023-03-05,2.0485,3.2077
"site4",2023-03-12,4.7841,1.5152
"site4",2023-03-19,2.9918,2.3643
"site4",2023-03-26,5.5096,3.3106
"site4",2023-04-02,3.6247,1.188
"site4",2023-04-09,3.3806,3.4452
"site4",2023-04-16,6.1472,1.9034
"site4",2023-04-23,3.6971,2.094
"site4",2023-04-30,6.8624,1.9363
"site4",2023-05-07,2.5635,1.1121
"site4",2023-05-14,6.9322,2.5564
"site4",2023-05-21,4.5646,3.037
"site4",2023-05-28,2.1431,3.7097
"site4",2023-06-04,5.9743,1.0766
"site4",2023-06-11,4.6672,3.9672
"site4",2023-06-18,5.7629,1.9087
"site4",2023-06-25,2.0028,3.8174
"site4",2023-07-02,3.3035,3.0628
"site4",2023-07-09,4.788,2.3411
"site4",2023-07-16,3.291,3.4494
"site4",2023-07-23,6.8836,1.1185
"site4",2023-07-30,3.8466,3.2171
"site4",2023-08-06,6.1265,2.0462
"site4",2023-08-13,4.3079,3.4878
"site4",2023-08-20,2.6947,2.6066
"site4",2023-08-27,2.7662,1.8236
"site4",2023-09-03,6.0693,3.4028
"site4",2023-09-10,4.5737,1.2749
"site4",2023-09-17,7.0064,3.4963
"site4",2023-09-24,7.8286,1.8306
"site4",2023-10-01,2.4229,3.2593
"site4",2023-10-08,4.7587,3.8925
"site4",2023-10-15,6.2095,1.2444
"site4",2023-10-22,2.5216,3.5631
"site4",2023-10-29,7.9577,3.4067
"site4",2023-11-05,2.6032,2.1555
"site4",2023-11-12,2.2972,1.9828
"site4",2023-11-19,6.118,1.6148
"site4",2023-11-26,6.7216,2.7081
"site4",2023-12-03,4.1216,3.6642
"site4",2023-12-10,3.9508,2.5891
"site4",2023-12-17,3.7226,2.7609
"site4",2023-12-24,2.4798,2.9972
"site4",2023-12-31,3.9613,2.5897
