Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1991-2020) (in) Start of Day Values,Snow Water Equivalent % of Median (1991-2020),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Median Precipitation Accumulation (1991-2020) (in) Start of Day Values,Precipitation Accumulation % of Median (1991-2020),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
12/24/23,3.7,6.2,60,16,8.4,9.6,88,28,7,13.8
12/25/23,3.7,6.3,59,16,8.4,10,84,30.2,5.5,12.9
12/26/23,3.7,6.6,56,16,8.4,10.3,82,33.6,7.2,16.9
12/27/23,3.7,6.9,54,16,8.4,10.4,81,37.8,12.9,24.6
12/28/23,3.7,7,53,16,8.4,10.4,81,45.9,25.7,33.6
12/29/23,3.7,7,53,16,8.4,10.4,81,51.8,30.7,36.9
12/30/23,3.7,7,53,16,8.4,10.5,80,43.3,29.5,35.2
12/31/23,3.7,7,53,16,8.4,10.8,78,47.1,26.6,32.4
1/1/24,3.7,7,53,16,8.4,10.8,78,42.8,24.6,30
1/2/24,3.7,7,53,16,8.4,10.8,78,45.5,22.1,28
1/3/24,3.7,7,53,16,8.4,10.8,78,33.8,21.4,26.6
1/4/24,3.8,7,54,17,8.5,10.9,78,34.9,17.1,22.6
1/5/24,3.8,7,54,17,8.5,11.1,77,26.1,10.6,19.2
1/6/24,3.8,7,54,17,8.5,11.1,77,27.9,9.9,17.4
1/7/24,4.1,7.6,54,20,8.8,11.2,79,25.7,8.8,16.3
1/8/24,4.1,8.2,50,20,8.8,11.5,77,23.9,4.5,11.8
1/9/24,4.1,8.2,50,20,8.8,11.5,77,28,4.1,16.2
1/10/24,4.6,8.2,56,23,9,11.5,78,20.3,8.1,15.3
1/11/24,5.3,8.2,65,32,9.6,11.5,83,18.5,4.6,11.1
1/12/24,5.3,8.9,60,29,9.6,11.6,83,23.9,10.6,18.5
1/13/24,5.4,9,60,28,9.7,11.7,83,31.6,17.6,22.6
1/14/24,6.1,9,68,35,10.3,11.9,87,31.3,24.8,27
1/15/24,6.7,9,74,36,11.1,12,93,25.7,16.3,21
1/16/24,6.7,9.4,71,34,11.1,12.2,91,30.7,10.9,20.1
1/17/24,6.7,9.8,68,32,11.1,12.3,90,33.8,25,29.1
1/18/24,7.5,9.8,77,36,11.9,12.3,97,36.3,22.3,30
1/19/24,7.5,10,75,34,11.9,12.4,96,50.7,24.4,34.5
1/20/24,7.5,10.2,74,33,11.9,12.9,92,39.2,30.6,33.1
1/21/24,8.1,10.2,79,38,12.5,13.1,95,34.3,29.3,31.5
1/22/24,8.5,10.2,83,40,12.9,13.2,98,,,